LOCATION NAME,DISPLAY_CALL_NO,ITEM_ENUM,CHRON,CountOfCHARGE_DATE,TITLE
,HV9104 .D37 2006,,,14,"Juvenile justice : the system, process, and the law / Rolando V. del Carmen, Chad R. Trulson. "
,HV9104 .H83 2009,,,11,Preventing and reducing juvenile delinquency : a comprehensive framework / James C. Howell. 
,HV9104 .L43 2008,,,13,"Juvenile justice : a text/reader / Richard Lawrence, Craig Hemmens. "
,HV9104 .Se6 1999,,,5,"Serious & violent juvenile offenders : risk factors and successful interventions / Rolf Loeber, David P. Farrington, editors. "
,HV9104 .Si1 2006,,,12,"Juvenile delinquency : theory, practice, and law / Larry J. Siegel, Brandon C. Welsh, Joseph J. Senna. "
,HV9145.A5 .M92 2009,,,9,Youth & crime / John Muncie. 
,HV9275 .R56 2009,,,4,"Offender rehabilitation : theory, research and practice / Gwen Robinson, Iain Crow. "
,HV9275 .W21 2007,,,1,Rehabilitation : beyond the risk paradigm / Tony Ward and Shadd Maruna. 
,HV9278 .Ab1 2009,,,28,Probation and parole : theory and practice / Howard Abadinsky. 
,HV9279 .H19 2010,,,3,Community corrections / Robert D. Hanser. 
,HV9304 .P93 1999,,,1,"Prison and jail administration : practice and theory / [edited by] Peter M. Carlson, Judith Simon Garrett. "
,HV9468 .C17 2004,,,1,Behind a convict's eyes : doing time in a modern prison / K.C. Carceral ; edited by Thomas J. Bernard ... [et al.]. 
,HV9471 .C81 1992,,,2,"Correctional theory and practice / edited by Clayton A. Hartjen, Edward E. Rhine. "
,HV9471 .Ex7 2002,,,1,Exploring corrections : a book of readings / edited by Tara Gray ; foreword by Robert Johnson. 
,HV9471 .P76 2002,,,2,"Women, prison, & crime / Joycelyn M. Pollock. "
,HV9471 .P93 2006,,,1,"Prisons : today and tomorrow / Joycelyn M. Pollock, editor. "
,HV95 .G43 1999,,,7,"Understanding social problems, policies, and programs / Leon Ginsberg. "
,HV9950 .B63 1999,,,12,"Introduction to criminal justice / Robert M. Bohm, Keith N. Haley. "
,HV9950 .B63 2005,,,6,"Introduction to criminal justice / Robert M. Bohm, Keith N. Haley. "
,HV9950 .C86 2002,,,1,"Criminal justice student writer's manual / William A. Johnson, Jr. ... [et al.]. "
,HV9950 .C86 2003,,,3,"Critical issues in crime and justice / editor, Albert R. Roberts. "
,HV9950 .G12 2007,,,7,"Criminal justice in action / Larry K. Gaines, Roger LeRoy Miller. "
,HV9950 .G35 2000,,,3,Criminal Justice in action :the core 
,HV9950 .R54 2010,,,5,"Ethics for criminal justice professionals / Cliff Roberson, Scott Mire. "
,HV9950 .S46 2000,,,5,Essentials of criminal justice 
,HV9950 .Sch4 1999,,,8,Criminal justice today : an introductory text for the twenty-first century / Frank Schmalleger ; foreword by Joan Petersilia. 
,HV9950 .Sch4 2010,,,16,Criminal justice : a brief introduction / Frank Schmalleger. 
,HV9950 .Si1 2007,,,3,"Essentials of criminal justice / Larry J. Siegel, Joseph J. Senna. "
,HV9950 .Si1 2009,,,5,Essentials of criminal justice / Larry J. Siegel. 
,HX151 .L11 1988,,,1,Labour in the Caribbean : from emancipation to independence / edited by Malcolm Cross and Gad Heuman. 
,JC423 .Su7 2010,,,3,Surveillance and democracy / edited by Kevin D. Haggerty and Minas Samatas. 
,JF1351 .C56 2004,,,1,Classics of public administration. 
,JF1351 .D41 2009,,,13,"Public administration : an action orientation / Robert B. Denhardt, Janet V. Denhardt. "
,JF1351 .H39 1999,,,2,Public administration and public affairs / Nicholas Henry. 
,JF1351 .H87 2003,,,10,Public management and administration : an introduction / Owen E. Hughes. 
,JF1351 .P76 2000 HEC,,,1,Public management reform : a comparative analysis / Christopher Pollitt and Geert Bouckaert. 
,JF1351 .P76 2004,,,7,Public management reform : a comparative analysis / Christopher Pollitt and Geert Bouckaert. 
,JF1351 .V82 1995,,,2,Comparative public administration / V.N. Viswanathan. 
,JF1501 .P44 1995,,,2,Politics of bureaucracy / B. Guy Peters. 
,JF1525.O73 .In7 2008,,,1,"Innovation in public sector services : entrepreneurship, creativity and management / edited by Paul Windrum, Per Koch. "
,JF51 .H12 1992,,,4,"Comparative government and politics : an introduction / Rod Hague, Martin Harrop, Shaun Breslin. "
,JF515 .J44 2005,,,1,Robert's rules for dummies / by C. Alan Jennings. 
,JF515 .R54 2008,,,1,Robert's rules of order revised for deliberative assemblies / by Henry M. Robert. 
,JK2281 .P81 2003,,,2,"Political campaign communication : inside and out / Larry Powell, Joseph Cowart. "
,JK421 .Im6 2010,,,2,Organizational assessment and improvement in the public sector / Kathleen M. Immordino. 
,JK421 .K51 2000,,,1,Global public management revolution : a report on the transformation of governance / Donald F. Kettl. 
,JK421 .Os1 1992,,,2,Reinventing government : how the entrepreneurial spirit is transforming the public sector / David Osborne and Ted Gaebler. 
,JK468.P75 .J94 2009,,,3,Performance-based management systems : effective implementation and maintenance / Patria de Lancer Julnes. 
,JK468.P76 .P37 1994,,,4,"Records management handbook / Ira A. Penn, Gail B. Pennix, Jim Coulson. "
,JL599.5.A5 .Is7 1992,,,2,Issues and problems in Caribbean public administration / edited by Selwyn Ryan and Deryck Brown. 
,JL605 .B27 2002,,,3,Introduction to Caribbean politics / by Cynthia Barrow-Giles. 
,JL605 .G74 2002,,,13,Governance in the Caribbean / edited by Selwyn Ryan and Ann Marie Bissessar. 
,JL605 .R95 1999,,,3,Winner takes all : The Westminster experience in the Anglophone Caribbean / Selwyn Ryan. 
,JL605.A1 .R22 1990,,,2,"Reader in public policy and administration / G.E. Mills, editor. "
,JL655 .B79 1992,,,2,Skeletons of the system : the framework of democracy in Trinidad and Tobago / H. Horace Broomes. 
,JL656.Z13 .Ob3 1980,,,5,"Gene Miles, our national heroine / [written by Nyahuma Obika]. "
,JN248 .Ag3 1999,,,4,"Better information practices : improving records and information management in the public service / [Sam Agere, Victoria Lemieux, Peter Mazikana]. "
,JV105 .F45 1983,,,2,"Colonialism, 1870-1945 : an introduction / D.K. Fieldhouse. "
,JX1395 .K25 1997,,,1,"World politics : trend and transformation / Charles W. Kegley, Jr., Eugene R. Wittkopf. "
,JX1428.C4 .P31 1982,,,1,Under the eagle : U.S. intervention in Central America and the Caribbean / Jenny Pearce ; foreword by Richard Gott. 
,JZ1405 .B45 2002,,,1,Diplomacy : theory and practice / G.R. Berridge. 
,JZ1519 .At5 1999,,,4,Latin America and the Caribbean in the international system / G. Pope Atkins. 
,JZ4839 .P32 2003,,,1,International organizations : perspectives on governance in the twenty-first century / Kelly-Kate S. Pease. 
,JZ6385 .G74 2007,,,3,"Governance, conflict analysis and conflict resolution / edited by Cedric H. Grant and R. Mark Kirton. "
,K1420.5 .D28 2002,,,1,Copyright and the public interest / Gillian Davies. 
,K237 DIN 1993,,,1,Company law / Janet Dine. 
,K237 JUD 1995,,,1,Business law / Steven Judge 
,K3400.A9 .B26 1998,,,1,Constitutional and administrative law / Hilaire Barnett. 
,K3400.A9 .B36 1997,,,1,Essential constitutional law / Andrew Beale. 
,K3400.A9 .C59 1997,,,1,"Constitutional & administrative law / Richard Clements, Jane Kay. "
,K3400.A9 .C91 1999,,,4,Constitutional and administrative law. 
,K3488 Ac2 2004,,,2,Accessing biodiversity and sharing the benefits : lessons from implementing the convention on biological diversity / ed. by Santiago Carrizosa ...[et al.]. 
,K5000 .C17 1998,,,4,Criminal law. 
,K5000 .El5 1998,,,6,Criminal law / Catherine Elliott and Frances Quinn. 
,K5000 .G26 1998,,,3,Essential criminal law / Roger Geary. 
,K5000 .R25 1999,,,2,Criminal law / Alan Reed and Peter Seago. 
,K5000 .Sm4 1999,,,10,Criminal law : cases and materials / by J. C. Smith and Brian Hogan. 
,K5018 .W67 2008,,,2,"Ethics, crime, and criminal justice / Christopher R. Williams and Bruce A. Arrigo. "
,K5087.D9.D8 .C65 1998,,,9,Coercion and punishment in long-term perspectives / edited by Joan McCord. 
,K5179.A9 .St7 1999,,,2,Offences against the person / Richard Stone. 
,K670.A9 .B27 1998,,,1,"Family law / Chris Barton, Mary Hibbs. "
,KD1300 .St2 2004,,,1,"Staying legal : a guide to issues and practice affecting the library, information, and publishing sectors / edited by Chris Armstrong and Laurence W. Bebbington. "
,KD1554 .C42 2001,,,7,"Cheshire, Fifoot, and Furmston's Law of contract. "
,KD1554 .El5 2009,,,10,Contract law / Catherine Elliott and Frances Quinn. 
,KD1629 .C38 1997,,,10,Charlesworth's Business law. 
,KD1629 .K25 2002,,,27,"Business law / Denis Keenan, Sarah Riches. "
,KD1629.3 .K29 2002,,,2,"Business law / David Kelly, Ann Holmes, Ruth Hayward. "
,KD1629.3 .K29 2005,,,56,"Business law / David Kelly, Ann Holmes, Ruth Hayward. "
,KD2875 .Q4 2007,,,1,Law for journalists / Frances Quinn. 
,KD3756 .P34 2006,,,1,Essential law for information professionals / Paul Pedley. 
,KD3930.Z9 .B36 1995,,,2,Solving problems in constitutional & administrative law / Andrew Beale. 
,KD3989 .C76 1999,,,4,"Constitutional law : the machinery of government : textbook / consultant editor, Lord Templeman ; [editor], Michael T. Molan. "
,KD3989 .C76a 1999,,,2,"Constitutional law : the machinery of government / consultant editor, Lord Templeman. "
,KD3989 .H42 1997,,,1,Briefcase on constitutional and administrative law / David Herling. 
,KD4879 .St4 1996,,,3,Constitutional and administrative law / Irving Stevens. 
,KD4879 .W11 2009,,,4,Administrative law / by the late William Wade and Christopher Forsyth. 
,KD7868 .El5 2001,,,7,Elliott and Wood's cases and materials on criminal law. 
,KD7868 .Sm6 1993,,,5,"Criminal law : cases and materials / J.C. Smith, Brian Hogan. "
,KD7869 .H43 2010,,,2,Criminal law : the basics / Jonathan Herring. 
,KD7869 .Sm6 2002,,,11,Criminal law. 
,KD7869.3 .G38 1996,,,3,Criminal law in a nutshell / by Marianne Giles. 
,KD8329 .Em6 2000,,,1,Emmins on criminal procedure. 
,KD8335 .C13 1995,,,1,Calvert's powers of arrest and charges / [editor] Lewis Heavens. 
,KF3408 .C23 2013 HEC,,,1,"Labor relations and collective bargaining : private and public sectors / Michael R. Carrell, Christina Heavrin. "
,KF379 .V26 2006,,,2,Ethical issues in the courts : a companion to philosophical ethics / Julie C. Van Camp. 
,KF9223 .W15 2009,,,2,You decide! : current debates in criminal justice / Bruce N. Waller. 
,KF9672 .R93 1998,,,2,Courtroom survival : the officer's guide to better testimony / Devallis Rutledge. 
,KGJ533 .F44 1999,,,2,Commonwealth Caribbean public law / Albert Fiadjoe. 
,KGJ545 .M18 2002,,,6,Caribbean constitutional reform : rethinking the West Indian polity / Simeon C.R. McIntosh. 
,KGJ548 .Al1 1987,,,3,Changing Caribbean constitutions / Francis Alexis. 
,KGJ548 .P54 2002,,,19,Commonwealth Caribbean constitutional law / Sir Fred Phillips. 
,KGJ96 .N48 1988,,,11,Commonwealth Caribbean legal systems : a study of small jurisdictions / Velma Newton. 
,KGJ960 .Se3 2001,,,6,Commonwealth Caribbean criminal practice and procedure / Dana S. Seetahal. 
,KGJ97 .An8 1999,,,27,Commonwealth Caribbean law and legal systems / Rose-Marie Belle Antoine. 
,KGJ971 .B41 2009,,,2,Criminal practice and procedure in the Magistrates' Courts in the Commonwealth Caribbean / by George Belnavis. 
,KGK462.W62 .L45 1998,,,1,Law and the politics of inclusion : women's experiences in Antigua / Mindie Lazarus-Black. 
,KGL 5574 .D39 1992,,,7,Fundamental rights in Commonwealth Caribbean constitutions / Margaret DeMerieux. 
,KGL5502.C27 .P76 2004,,,10,Caribbean Court of Justice : closing the circle of independence / Duke E. Pollard. 
,KGL5971 .D44 1985,,,3,Trial by jury : social and psychological dynamics / Ramesh Deosaran. 
,KGL5971 .Se3 2011,,,5,Commonwealth Caribbean criminal practice and procedure / Dana Seetahal. 
,KU451 .G36 1987,,,2,How to understand an act of Parliament / by Kenneth H. Gifford and D.J. Gifford. 
,KZ1242.5 .D64 2003,,,2,"Cases and materials on international law / Robert McCorquodale, Martin Dixon. "
,KZ6250 .M14 2005,,,2,Caribbean Court of Justice : enhancing the law of international organizations / Sheldon McDonald. 
,L101.G8 .V24 2001,,,1,"Values, culture and education / edited by, Jo Cairns, Denis Lawton and Roy Gardner. "
,L106 .Im7 1994,,,5,"Imperative of quality assurance in tertiary education a regional seminar Port of Spain Trinidad and Tobago May 24-27, 1993 edited by Ruby S. Alleyne. "
,LA229 .As8 1993,,,1,What matters in college? : four critical years revisited / Alexander W. Astin. 
,LA412 .F95 2001,,,1,New meaning of educational change / Michael G. Fullan. 
,LA475 .J68 2010,Vol. 12,No. 1,3,Journal of education & development in the Caribbean. 
,LA476 .G65 1968,,,2,"Reports and repercussions in West Indian education, 1835-1933 / Shirley C. Gordon. "
,LA476 .M61 1992 HEC,,,5,Education for all : Caribbean perspectives and imperatives / by Errol Miller. 
,LA505.T74 .Al5 1995,,,3,Nationhood from the schoolbag : a historical analysis of the development of secondary education in Trinidad and Tobago / Michael H. McD. Alleyne. 
,LA505.T74 .B93 [200-?],,,1,Education and social change in Trinidad and Tobago / Philp Burnham 
,LA505.T74 .C15 1992,,,6,"Colony & nation : a short history of education in Trinidad & Tobago, 1834-1986 / by Carl C. Campbell. "
,LB 1047 .R81 1999,,,5,Schaum's quick guide to writing great research papers 
,LB 1049 .P18 1996,,,3,Brain train : studying for success / Richard Palmer. 
,LB 2331 .M27 1990 HEC,,,3,147 practical tips for teaching professors / compiled & edited by Robert Magnan. 
,LB 2395 SMI 1990,,,6,Study Skill Hand Book 
,LB1025.3 .Sq5 2003,,,1,Trouble-shooting your teaching : a step-by-step guide to analysing and improving your practice / Geoffrey Squires. 
,LB1025.3 .T45 2004 HEC,,,1,What every teacher should know about effective teaching strategies / Donna Walker Tileston. 
,LB1028 .C38 1998,,,5,Introduction to educational research / C.M. Charles. 
,LB1028 .C66 2000 HEC,,,6,"Research methods in education / Louis Cohen, Lawrence Manion, and Keith Morrison. "
,LB1028 .F84 2000 HEC,,,1,"How to design and evaluate research in education / Jack Fraenkel, Norman E. Wallen. "
,LB1028 .J63 2000 HEC,,,1,"Educational research : quantitative and qualitative approaches / Burke Johnson, Larry Christensen. "
,LB1028.25.U6 .Q1 2010,,,5,Qualitative educational research : readings in reflexive methodology and transformative practice / edited by Wendy Luttrell. 
,LB1028.3 .B31 2005,,,1,"Technology, e-learning and distance education / A.W. (Tony) Bates. "
,LB1028.3 .C76 2004,,,4,Connected schools : thought leaders : essays from innovators / edited by Michelle Selinger. 
,LB1028.3 .El2 1995,,,3,Electronic classroom : a handbook for education in the electronic environment / edited by Erwin Boschmann. 
,LB1028.3 .G48 1996 HEC,,,3,"Fostering the use of educational technology : elements of a national strategy / Thomas K. Glennan, Arthur Melmed. "
,LB1028.3 .G75 2007,,,2,"Integrating technology for meaningful learning / Mark Grabe, Cindy Grabe. "
,LB1028.3 .In3 1997 HEC,,,1,Information technology and the future of post-secondary education. 
,LB1028.3 .In3 1999 HEC,,,1,"Information technology in higher education [electronic resource] : assessing its impact and planning for the future / Richard N. Katz, Julia A. Rudy, editors. "
,LB1028.3 .Is8 2000 HEC,,,1,Issues in education and technology : policy guidelines and strategies / edited by Cream Wright. 
,LB1028.3 .M28 2000 HEC,,,1,"Integr@ting technology in learning & teaching : a practical guide for educators / Pat Maier, Adam Warren. "
,LB1028.3 .R57 1997 HEC,,,1,"Integrating educational technology into teaching / M.D. Roblyer, Jack Edwards, Mary Anne Havriluk. "
,LB1028.3 .R57 2006,,,2,Integrating educational technology into teaching / M.D. Roblyer. 
,LB1028.3 .R57 2016,,,1,"Integrating educational technology into teaching / M.D. Roblyer, Nova Southeastern University. "
,LB1028.3 .Sm1 2008,,,3,"Instructional technology and media for learning / Sharon E. Smaldino, Deborah L. Lowther, James D. Russell. "
,LB1028.3 .Sm1 2008 CD-ROM,,,2,"Instructional technology and media for learning / Sharon E. Smaldino, Deborah L. Lowther, James D. Russell. "
,LB1028.3 .T59 2002 HEC,,,1,Technology facade : overcoming barriers to effective instructional technology / Lawrence A. Tomei. 
,LB1028.38 .In7 2000 HEC,,,1,"Instructional technology for teaching and learning : designing instruction, integrating computers, and using media / Timothy J. Newby ... [et al.]. "
,LB1028.38 .P83 2004,,,1,Developing an online curriculum : technologies and techniques / Lynnette R. Porter. 
,LB1028.43 .B87 2000 HEC,,,1,"Watch IT : the risks and promises of information technologies for education / Nicholas C. Burbules, Thomas A. Callister, Jr. "
,LB1028.46 .In3 2001 HEC,,,1,"Information technology for schools : creating practical knowledge to improve student performance / Bena Kallick and James M. Wilson III, editors; sponsored by the International Network of Principals Center. "
,LB1028.5 .H18 2015,,,4,Integrating technology in the classroom : tools to meet the needs of every student / Boni Hamilton. 
,LB1028.5 .L78 1997,,,1,"Microcomputers for twenty-first century educators / James Lockard, Peter D. Abrams, Wesley A. Many. "
,LB1029.R4 .B43 2007,,,2,"Response to intervention : a practical guide for every teacher / William N. Bender, Cara Shores. "
,LB1029.R4 .R75 1999,,,1,"High stakes, high performance : making remedial education work / John E. Roueche and Suanne D. Roueche. "
,LB1032 .B45 2005,,,6,"Collaborative learning techniques : a handbook for college faculty / Elizabeth F. Barkley, K. Patricia Cross, and Claire Howell Major. "
,LB1032 .T22 2004,,,1,"Team-based learning : a transformative use of small groups in college teaching / edited by Larry K. Michaelsen, Arletta Bauman Knight, L. Dee Fink. "
,LB1042 .G83 2010,,,1,Storytelling : art and technique / Ellin Greene and Janice M. Del Negro ; foreword by Jack Zipes. 
,LB1044 .87 .Sm6 2008,,,2,Conquering the content : a step-by-step guide to online course design / Robin M. Smith. 
,LB1044.87 . In3 2003,,,6,Information and IT literacy : enabling learning in the 21st century / edited by Allan Martin and Hannelore Rader. 
,LB1044.87 .C76 2004,,,3,"Engaging the online learner : activities and resources for creative instruction / Rita-Marie Conrad, J. Ana Donaldson. "
,LB1044.87 .In3a 2003,,,1,"Information literacy instruction for educators : professional knowledge for an information age / Dawn M. Shinew, Scott Walter, editors. "
,LB1044.87 .M38 2008,,,4,"E-learning and social networking handbook : resources for higher education / Robin Mason, Frank Rennie. "
,LB1044.87 .R39 2006,,,1,"Blogs, wikis, podcasts, and other powerful web tools for classrooms / Will Richardson. "
,LB1044.87 .T22 2001 HEC,,,1,Teaching & learning online : new pedagogies for new technologies / edited by John Stephenson. 
,LB1047.3 .M54 2001,,,5,12 easy steps to successful research papers / Nell W. Meriwether. 
,LB1047.3 .R81 2007,,,108,Schaum's quick guide to writing great research papers / Laurie Rozakis. 
,LB1047.3 .R81 2007,,,1,Schaum's quick guide to writing great research papers / Laurie Rozakis. 
,LB1047.3 .St2 2003,,,3,Research & writing skills : success in 20 minutes a day / Rachael Stark. 
,LB1047.3 .Us1 2000,,,1,"Using the Internet, online services, and CD-ROMs for writing research and term papers / edited by Charles Harmon. "
,LB1047.3 MER 1996,,,2,12 easy steps to successful research papers / Nell W. Meriwether. 
,LB1049 .F94 1999,,,11,Great big book of how to study / by Ron Fry. 
,LB1049 .F94 2005,,,4,How to study / [by Ron Fry]. 
,LB1049 .W89 1998,,,1,World Book of study power. Learning 1 
,LB1049 CAS 1993,,,1,How to study : a practical guide / Francis Casey. 
,LB1050 .M57 2007,,,1,"Reading and teaching / Richard J. Meyer, Maryann Manning. "
,LB1050 .W63 2006,,,1,"Reading skills handbook / Harvey S. Wiener, Charles Bazerman. "
,LB1050 SIN 1976,,,1,Learning to read and reading to learn : an approach to a system of literacy instruction / [by] Sohan Singh. 
,LB1050.54 .M61a 2001,,,2,"Reading faster and understanding more. Book one / Wanda Maureen Miller, Sharon Steeber de Orozco. "
,LB1051 .D39 1994,,,2,Applying educational psychology / Myron H. Dembo. 
,LB1051 .Eg3 1999,,,2,"Educational psychology : windows on classrooms / Paul Eggen, Don Kauchak. "
,LB1051 .Eg3 2001 HEC,,,4,"Educational psychology : windows on classrooms / Paul Eggen, Don Kauchak. "
,LB1051 .Eg3 2012,,,1,"Educational psychology : windows on classrooms / by Paul D. Eggen, Donald P. Kauchak. "
,LB1051 .H42 2005,,,10,Introduction to theories of learning / by B.R. Hergenhahn and Matthew H. Olson. 
,LB1051 .Or5 2014,,,1,"Educational psychology : developing learners / Jeanne Ellis Ormrod, Professor Emerita, University of North Colorado. "
,LB1051 .Or6 2000,,,1,Educational psychology : developing learners / Jeanne Ellis Ormrod. 
,LB1051 .Sl1 2000,,,1,Educational psychology : theory and practice / Robert E. Slavin. 
,LB1051 .Sl1 2006,,,21,Educational psychology : theory and practice / Robert E. Slavin. 
,LB1060 .B48 1999,,,1,"Learning theories for teachers / Morris L. Bigge, S. Samuel Shermis. "
,LB1060 .F33 2008,,,3,"Field guide to the science of learning & the art of teaching / Jerome Feldman, Doug McPhee. "
,LB1060 .H88 2005,,,1,Human learning : an holistic approach / edited by Peter Jarvis and Stella Parker. 
,LB1060 .M12 2014,,,7,How children learn / Sean MacBlain. 
,LB1060 .Sa7 1999,,,3,Learning style perspectives : impact in the classroom / by Lynne Celli Sarasin. 
,LB1060 .Sa7 2006,,,1,Learning style perspectives : impact in the classroom / Lynne Celli Sarasin. 
,LB1060 .Sch8 2004,,,2,Learning theories : an educational perspective / Dale H. Schunk. 
,LB1060 .Sch8 2012 HEC,,,4,Learning theories : an educational perspective / Dale H. Schunk. 
,LB1060 .Un2 2001,,,1,Understanding learning : influences and outcomes / edited by Janet Collins and Deirdre Cook. 
,LB1084 .B22 1977,,,1,Social learning theory / Albert Bandura. 
,LB1115 .M14 2015,,,12,Child development and education / Teresa M. McDevitt & Jeanne Ellis Ormrod. 
,LB1115 .N27 2013,,,2,Child development for early years students and practitioners / Sally Neaum. 
,LB1131 .D75 2000 HEC,,,1,"Young children's personal, social, and emotional development / Marion Dowling. "
,LB1139.23 .G65 2000,,,2,"Beginnings & beyond / Ann Miles Gordon, Kathryn Williams Browne ; guest editors, Edith M. Dowley ... [et al.]. "
,LB1139.23 .G65 2014,,,20,"Beginnings and beyond : foundations in early childhood education / Ann Miles Gordon, Kathryn Williams Browne, Skyline College. "
,LB1139.25 .Es7 2014,,,8,"Introduction to early childhood education / Eva L. Essa, University of Nevada, Reno. "
,LB1139.25 .K84 2010,,,6,"Managing an early childhood classroom : literacy, language, & learning / author, Wendy Koza ; contributing author, Jodene Smith. "
,LB1139.25 .K84 2015,,,8,"Developmentally appropriate curriculum : best practices in early childhood education / Marjorie J. Kostelnik, Anne K. Soderman, Alice Phipps Whiren, Michelle L. Rupiper. "
,LB1139.4 .K91 2014,,,2,"Early childhood curriculum : inquiry learning through integration / Suzanne L. Krogh , Pamela Morehouse. "
,LB1139.5.S35 .H22 2012,,,2,"Science experiences for the early childhood years : an integrated affective approach / Jean D. Harlan, Mary S. Rivkin. "
,LB1139.5.S35 .M36 2001,,,8,Constructing early childhood science / David Jerner Martin. 
,LB1140.2 .K12 2006,,,5,Help! for teachers of young children : 88 tips to develop children's social skills and create positive teacher-family relationships / Gwen Snyder Kaltman. 
,LB1140.23 .B74 2014,,,21,Effective practices in early childhood education : building a foundation / Sue Bredekamp. 
,LB1525 .T32 2000,,,3,On solid ground : strategies for teaching reading K-3 / Sharon Taberski. 
,LB1528 .D73 2001,,,1,"Scaffolding young writers : a writer's workshop approach / Linda J. Dorn, Carla Soffos. "
,LB1570 .M23 2014 HEC,,,1,"Contemporary curriculum : in thought and action / John D. McNeil, University of California, Los Angeles. "
,LB1573 .R22 1999 HEC,,,1,Reading and literacy / edited by Nancy Walser. 
,LB1585 .N49 2013 v.1 HEC,Dept. copy,,1,"Next Generation Science Standards. Volume 1, The standards : for states, by states / NGSS Lead States. "
,LB1585 .N49 2013 v.2 HEC,Dept. copy,,2,"Next Generation Science Standards. Volume 2, Appendixes : for states, by states / NGSS Lead States. "
,LB1585 .Sci2 2015,,,4,"Science in early childhood / edited by Coral Campbell, Wendy Jobling, Christine Howitt. "
,LB1585.3 .A27 2001,,,2,Teaching children science : discovery methods for the elementary and middle grades / Joseph Abruscato. 
,LB1585.3 .N21 2012 HEC,Dept. copy,,3,"Framework for K-12 science education : practices, crosscutting concepts, and core ideas / Committee on a Conceptual Framework for New K-12 Science Education Standards, Board on Science Education, Division of Behavioral and Social Sciences and Education, N"
,LB1585.5.G7 .B44 1994,,,1,Primary science and technology : practical alternatives / Di Bentley and Mike Watts. 
,LB1731 .T59 1995,,,1,Understanding mentoring : reflective strategies for school-based teacher preparation / Peter Tomlinson. 
,LB1732.3 .P91 2010,,,1,Preparing teachers for the early childhood classroom : proven models and key principles / edited by Susan B. Neuman and Michael L. Kamil. 
,LB1738 .Ac8 2007,,,2,"Act of teaching [videorecording] : with Nancy Houfek / a presentation of The Derek Bok Center for Teaching and Learning, Harvard University ; produced and directed by Jamil Simon. "
,LB1738 .Ar7 2007,,,2,"Art of discussion leading [videorecording] : a class with Chris Christensen ; The art of the lecture : justice, a Harvard University course in moral reasoning / The Derek Bok Center for Teaching and Learning, Harvard University. "
,LB1738 .C84 2001,,,1,Becoming an authentic teacher in higher education / Patricia Cranton. 
,LB1738 .H83 2007,,,2,"How to speak [videorecording] : lectures tips from Patrick Winston ; Technically speaking : making complex matters simple / The Derek Bok Center for Teaching and Learning, Harvard University. "
,LB1738 .L42 2000,,,1,Planning for effective faculty development : using adult learning strategies / Patricia A. Lawler and Kathleen P. King. 
,LB1738 .R11 2007,,,2,"Race in the classroom [videorecording] : the multiplicity of experience ; Women in the classroom : cases for discussion / The Derek Bok Center for Teaching and Learning, Harvard University. "
,LB1738 .T22 2007,,,2,"Teaching in America [videorecording] : a guide for international faculty ; What students want : teaching from a student's perspective / The Derek Bok Center for Teaching and Learning, Harvard University. "
,LB1738 .T34 2007,,,2,"Thinking together [videorecording] : collaborative learning in science ; From questions to concepts : interactive teaching in physics / a presentation of The Derek Bok Center for Teaching and Learning, Harvard University. "
,LB1778.2 .M33 2004,,,1,New faculty professional development : planning an ideal program / Henryk Marcinkiewicz & Terrence Doyle. 
,LB2326.3 .L62 1990 HEC,,,2,"By design : planning research on higher education / Richard J. Light, Judith D. Singer, John B. Willett. "
,LB2328 .C81 1999,,,2,Core indicators of effectiveness for community colleges / Richard Alfred ... [et al.]. 
,LB2328 .En8 2005,,,1,Entrepreneurial community college / edited by John E. Roueche and Barbara R. Jones ; foreword by George R. Boggs. 
,LB2328 .M31 1997 HEC,,,4,Managing your institution's effectiveness : a user guide / prepared by Midlands Technical College. 
,LB2329.8.C27 .B38 2002,,,4,"Brain train : quality higher education and Caribbean development / Hilary McD. Beckles, Anthony Perry and Peter Whiteley ; foreword by Rex Nettleford. "
,LB2329.8.C27 .H53 2000,,,7,"Higher education in the Caribbean : past, present, and future directions / edited by Glenford D. Howe. "
,LB2331 .H19 2009,,,1,"Handbook for teaching and learning in higher education : enhancing academic practice / edited by Heather Fry, Steve Ketteridge, Stephanie Marshall. "
,LB2331 .N59 2003,,,12,Teaching at its best : a research-based resource for college instructors / Linda B. Nilson. 
,LB2331 .P94 2001,,,1,Successful beginnings for college teaching : engaging your students from the first day / by Angela Provitera McGlynn. 
,LB2331 .R75 2003,,,2,"Practical magic : on the front lines of teaching excellence / John E. Roueche, Mark D. Milliron and Suanne D. Roueche. "
,LB2331.2 .D49 1998,,,1,"Developmental education : a twenty-first century social and economic imperative / Robert H. McCabe and Philip R. Day, Jr., editors. "
,LB2331.2 .G11 2008,,,4,Teaching unprepared students : strategies for promoting success and retention in higher education / Kathleen F. Gabriel ; foreword by Sandra M. Flake. 
,LB2331.2 .Im7 2009,,,1,Error(12001)
,LB2331.2 .R31 2005,,,1,"Responding to the challenges of developmental education / Carol A. Kozeracki, editor. "
,LB2331.2 .Si3 2000,,,1,"Learning and development : making connections to enhance teaching / Sharon L. Silverman, Martha E. Casazza. "
,LB2331.62 .Q2 2015,Dept. copy,,1,Quality in higher education in the Caribbean / edited by Anna Kasafi Perkins. 
